title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
Furnished 4bdrm Apartment in Old Ikoyi for sale,4800.0,Apartment,4.0,4.0,furnished,"Ikoyi, Old Ikoyi",Old Ikoyi,Ikoyi,enterprise,"₦ 40,000,000,000"
4bdrm Duplex in Galadimawa for sale,500.0,Duplex,4.0,4.0,unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),enterprise,"₦ 350,000,000"
2bdrm Apartment in Lekki Chevron Toll for sale,1000.0,Apartment,2.0,2.0,semi-furnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 95,000,000"
"3bdrm Apartment in Gbagada, Millenuim/UPS for sale",515.0,Apartment,3.0,3.0,semi-furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Gbagada,enterprise,"₦ 170,000,000"
"2bdrm Bungalow in South Point Estate, Lekki Phase 2 for sale",400.0,Bungalow,2.0,2.0,semi-furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 65,000,000"
5bdrm Duplex in Lekki Phase 2 for sale,500.0,Duplex,5.0,5.0,semi-furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 350,000,000"
"3bdrm House in On Muslim Bridge, Oluyole Estate for sale",900.0,House,3.0,3.0,unfurnished,"Ibadan, Oluyole Estate",Oluyole Estate,Ibadan,False,"₦ 22,000,000"
3bdrm Duplex in Ilupeju Estate for sale,220.0,Duplex,3.0,3.0,semi-furnished,"Ilupeju, Ilupeju Industrial Estate",Ilupeju Industrial Estate,Ilupeju,enterprise,"₦ 300,000,000"
3bdrm Block of Flats in Akoka for sale,600.0,Block of Flats,3.0,3.0,semi-furnished,"Yaba, Akoka",Akoka,Yaba,enterprise,"₦ 280,000,000"
5bdrm Duplex in Opebi for sale,450.0,Duplex,5.0,5.0,unfurnished,"Ikeja, Opebi",Opebi,Ikeja,enterprise,"₦ 750,000,000"
"4bdrm Duplex in News Engineering, Dawaki for sale",1000.0,Duplex,4.0,5.0,semi-furnished,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,enterprise,"₦ 60,000,000"
3bdrm Apartment in Gbagada for sale,558.0,Apartment,3.0,3.0,semi-furnished,"Gbagada, Ifako-Gbagada",Ifako-Gbagada,Gbagada,enterprise,"₦ 100,000,000"
"Furnished 5bdrm Duplex in Startimes Estate, Apple Junction for sale",465.0,Duplex,5.0,5.0,furnished,"Amuwo-Odofin, Apple Junction",Apple Junction,Amuwo-Odofin,False,"₦ 350,000,000"
Furnished 3bdrm Block of Flats in Dakwo Community for sale,192.0,Block of Flats,3.0,3.0,furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),False,"₦ 13,500,000"
5bdrm Bungalow in Ijede / Ikorodu for sale,648.0,Bungalow,5.0,5.0,semi-furnished,"Ikorodu, Ijede / Ikorodu",Ijede / Ikorodu,Ikorodu,enterprise,"₦ 40,000,000"
4bdrm Duplex in Dawaki for sale,1900.0,Duplex,4.0,4.0,semi-furnished,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,enterprise,"₦ 280,000,000"
Furnished 3bdrm Block of Flats in Falola Ipaja Lagos for sale,600.0,Block of Flats,3.0,4.0,furnished,"Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,False,"₦ 45,000,000"
Furnished 3bdrm Duplex in Alagbado Lagos for sale,202.0,Duplex,3.0,3.0,furnished,"Ifako-Ijaiye, Alagbado",Alagbado,Ifako-Ijaiye,False,"₦ 45,000,000"
5bdrm Duplex in Omole Phase1 for sale,249.0,Duplex,5.0,5.0,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,enterprise,"₦ 650,000,000"
