title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
5bdrm Duplex in Idado for sale,350,Duplex,5,5,Unfurnished,"Lekki, Idado",Idado,Lagos Island,Enterprise,350000000.0
5bdrm Duplex in GRA Phase 2 Shangisha for sale,500,Duplex,5,5,Unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos Mainland,Enterprise,370000000.0
4bdrm Duplex in Off Lekki-Epe Expressway for sale,500,Duplex,4,4,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,150000000.0
Furnished 4bdrm Duplex in Agungi for sale,350,Duplex,4,4,Furnished,"Lekki, Agungi",Agungi,Lagos Island,Enterprise,350000000.0
3bdrm Apartment in Life Camp for sale,500,Apartment,3,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,120000000.0
4bdrm Duplex in Durumi for sale,500,Duplex,4,5,Unfurnished,"Abuja (FCT), Durumi",Durumi,Abuja (FCT),Diamond,300000000.0
4bdrm Duplex in Area 1 for sale,500,Duplex,4,5,Unfurnished,"Garki 1, Area 1",Area 1,Abuja (FCT),Diamond,250000000.0
4bdrm Duplex in Lekki Phase 2 for sale,123,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Diamond,220000000.0
3bdrm Duplex in Kubwa for sale,500,Duplex,3,4,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,130000000.0
"3bdrm Apartment in The Den Heights, Lekki Phase 1 for sale",250,Apartment,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,430000000.0
5bdrm Duplex in Sangotedo for sale,250,Duplex,5,5,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,400000000.0
3bdrm Apartment in Ipaja / Ipaja for sale,250,Apartment,3,3,Unfurnished,"Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Lagos Mainland,Enterprise,81000000.0
5bdrm Duplex in Ajah for sale,600,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,280000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,135000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,120000000.0
2bdrm Apartment in Lekki Phase 1 for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,170000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,185000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,220000000.0
5bdrm Duplex in Chevron for sale,500,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,298000000.0
4bdrm Duplex in Ikota for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,280000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,350000000.0
2bdrm Apartment in Ikate for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,150000000.0
4bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,280000000.0
3bdrm Apartment in Lekki Phase 1 for sale,250,Apartment,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Diamond,400000000.0
5bdrm Apartment in Osapa london for sale,170,Apartment,5,6,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Diamond,600000000.0
3bdrm Block of Flats in Wuye for sale,500,Block of Flats,3,4,Unfurnished,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),Diamond,160000000.0
3bdrm Bungalow in Dawaki for sale,700,Bungalow,3,4,Unfurnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),Diamond,50000000.0
